,헤드라인,레이블
641,"네이버, 베트남 최고 명문대와 협력 'AI인재 육성'",1.0
642,"네이버, 베트남 최고 공대와 손잡고 ‘글로벌 AI 연구벨트’ 조성",1.0
643,NAVER서 막히니…댓글부대 DAUM으로 이동,0.0
644,실적 개선 기대… NAVER·SK이노 등 주목을,1.0
645,"파죽지세 NAVER, 목표가 상향 잇따라",1.0
646,"올해 창사 20돌 맞는 NAVER ""AI·로봇…기술기업으로 진화한다""",1.0
647,"진격의 NAVER, 장중 70만원 돌파",1.0
648,"[fn화제주] NAVER, 라인 기업공개에 시장 기대감",1.0
649,시장기대 '솔솔'…NAVER 지배구조 재편 시작되나,1.0
650,구글·페이스북등 인터넷株 폭등…NAVER도 동조?,1.0
651,삼성전자 파는 개미들…두달 새 1.2兆 처분,0.0
652,‘배당확대’ 채비 나서는 국민연금,0.0
653,'7말8초' 앞두고 오히려 방역조치 완화하는 정부,0.0
654,"[fn화제주] NAVER, 실적 호조 기대감에 3.9% 상승",1.0
655,"[fn 화제주] NAVER, 라인 실적 기대감에 5%대 강세",1.0
656,"[포춘클럽 라운지] NAVER, 소셜로그인 '네아로' 국내외 저변 빠르게 확장",1.0
657,"핀테크 날개 단 다음카카오, NAVER보다 큰 기대",1.0
658,조정 끝났나…반등하는 카카오·네이버,1.0
659,"[fn화제주] NAVER, 모바일 메신저 ‘라인’ 가파른 상승 견인",1.0
660,"NAVER, '之'자 행보에 종잡을 수가 없네",0.0
661,"삼성전자 · NAVER, 애플 · 구글 격차 좁힌다",1.0
662,[사상최대 빚투]빚내 실탄 마련한 개미…바이오 베팅,0.0
663,"NAVER·SK컴즈, 실적 때문에 엇갈린 주가 희비",0.0
664,[한경에세이] 달콤한 여행의 고통,0.0
665,"뛰는 카카오, 기는 NAVER",0.0
666,"""NAVER 사라vs팔아라"" 엇갈린 평가…외국계證도 의견 갈려",0.0
667,NAVER 황제주 보인다,1.0
668,[석창인 박사의 오늘 뭐 먹지?]연탄불에 지글지글 ‘엄마 손맛’ 그대로 추억...,1.0
669,열흘만에...'언택트 3총사' 시총 12조 증발,0.0
670,"라인에 베팅한 외인···NAVER, 시가총액 5위로 '우뚝'",1.0
671,[fn 화제주] NAVER，라인 매출 상승 3거래일 연속 상승,1.0
672,"with NAVER, 게임업계에 `네이버` 각인",1.0
673,"[fn화제주] NAVER, 페이스북의 ‘왓츠앱’ 인수에 8%↓",0.0
674,게임 흥행보증수표 된 ‘with NAVER’,1.0
675,"IT 빅3<삼성전자 · SK하이닉스 · NAVER>, 글로벌 경쟁사보다 여전히‘저평가...",0.0
676,"“우리 해수욕장, 하루 300명만 받아요”",0.0
677,[뷰엔] 욕설ㆍ정치구호 난무… '현수막 지옥' 된 대검 앞,0.0
678,"[NAVER 미래는 글로벌] <상> 모바일 시대, 네이버의 변신",1.0
679,"[종목 포커스] NAVER, 외국인 매도에 60만원 붕괴",0.0
680,kakao 영업익 반토막 211억 … NAVER 2568억 32% ‘껑충’,1.0
681,"언택트 대장주, 네이버는 다 계획이 있다",1.0
682,[fn 화제주] NAVER，‘라인’ 글로벌 성장 기대감에 상승세,1.0
683,"언택트 3총사, 시총 100조 ‘거침없는 하이킥’",1.0
684,외인·기관 차익실현에···'언택트 3총사' 급제동,0.0
685,[단독]‘靑선거개입 의혹’ 사건 공소장 전문 공개합니다,0.0
686,[인터넷 이디엄]<104>더 이상은 naver,0.0
687,"네이버, 오디오 콘텐츠 강화..모모콘에 14억 투자",1.0
688,"네이버, 모모콘에 14억원 투자… 오디오 예능 콘텐츠 역량 강화",1.0
689,네이버-KTB 모모콘에 14억원 투자 “오디오 콘텐츠 강화”,1.0
690,다시 언택트...네이버·카카오 '파죽지세',1.0
691,100조 ‘한국판 뉴딜’ 훈풍…수혜주 어디?,1.0
692,젊은 NAVER…임원 평균 연령 46.1세,1.0
693,‘언택트 3인방’ 올 시총 30兆 늘었다,1.0
694,손실 면한 국민연금 '언택트 3대장' 덕 봤네,1.0
695,`포털 라이벌` 엇갈리는 주가…NAVER↑·Daum↓,0.0
696,"카카오 시총 30조 돌파, 네이버 맹추격...""웹툰·자회사IPO가 초강력 엔진""",1.0
697,[특징주]NAVER·다음카카오 동반 2~3%대하락,0.0
698,신용융자 12.6조 사상최대···주도株에 몰린 '빚투',0.0
699,슬기로운 ‘집콕 생활’ 랜선 놀이터로 출발!,1.0
700,"삼성전자·SKT ""IT·인터넷 성공 방정식 배우자""…NAVER 임원은 영입 '0순위'",1.0
701,"好실적 기대감, 3분기까지 간다",1.0
702,[한경에세이] 따뜻한 잔혹 동화,0.0
703,주식거래 하루 30조...진화한 개미들 어떤 종목 담았나,1.0
704,"""믿을 건 대형기술株""…해외 IT펀드로 '쏠림' 심화",0.0
705,코로나 치료제 기대감에 올랐지만…코스피 2200 매물부담,0.0
706,진격의 네이버…올 시총 10조 늘었다,1.0
707,"네이버 빠진 `마이데이터` 가능할까… ""역차별"" vs ""균등 교환"" 의견 팽팽",0.0
708,"'땡큐, 기관' 코스피 2100 돌파…""냉정하게 지켜보자""",1.0
709,스트레스 없는 豚…동물복지 축산물 시장 이끌다,1.0
710,외국인이 사면 오르고 개인이 팔면 더 올랐다,1.0
711,소외株 사고 과열株 팔고…외국인 조용히 순환매 리드,1.0
712,삼성전자 드디어 볕 드나…동학삼전개미 '환호',1.0
713,"네이버, 언택트 바람 타고 ‘황제株’ 독주",1.0
714,"고평가 논란 코스피···""美中 갈등 '조정 트리거' 될수도""",0.0
715,"고려 금속활자, 구텐베르크 이후 뒤처진 5가지 이유…발명은 있었지만 혁명은...",0.0
716,"하루 수십번 경련 숨 쉬기도 어려운, 7살 주원이의 사투",0.0
717,"어느덧 코스피 2,200 눈앞...삼성전자, 4년여 만에 '10일 연속 상승'",1.0
718,위장약에서 또 발암 우려물질 검출… 니자티딘 성분 판매중지,0.0
719,성장주 질주는 계속된다…2분기 실적도 高高,1.0
720,예상 빗나간 MSCI 지수 변경…한진칼 울고 셀트리온제약 웃었다,0.0
721,警 ‘우한 폐렴’ 가짜뉴스 엄벌… 중간유포자도 잡는다,0.0
722,[서경스타즈IR] 네이버 '언택트' 날개 달고...쇼핑·결제 폭풍성장,1.0
723,위헌 결정 받은 ‘인터넷 실명제’ 여론의 심판대 오르다,0.0
724,네이버 주가 ‘파죽지세’ 연일 사상 최고가 경신,1.0
725,삼성전자 '30%캡룰' 3월 적용?…자산운용업계 '비상',0.0
726,역시 체력…2분기 실적에 주가도 급등,1.0
727,"네이버 비즈니스 플랫폼-한컴그룹, 클라우드 사업 연계 협약",1.0
728,[코스피 시총 50위 10년간 결과는] '묻지마 장투'의 비극? ...주가 오른 종목...,0.0
729,[지금 구청은] 크리에이터에 스튜디오 ‘호수’ 지원,1.0
730,국내 증시는 언택트에 바이오까지 가세,1.0
731,"카카오, 현대차를 제쳤다",1.0
732,"""10억은 넘지말자"" 양도세 무서워(?) 주식 판 임원들",0.0
733,네이버 AI해커톤 개최… 음성인식 분야 예비 개발자 키운다,1.0
734,네이버보다 목표주가 높아진 카카오,1.0
735,온라인으로 펼치는 종로구 독서 프로그램 눈길,1.0
736,동학개미 거침없는 빚투자…13년 최장 증가,0.0
737,갑질논란·비방은 그만…'착한기업' 투자하는 ESG가 대세,1.0
738,실적 부진에 공매도까지 네이버 주가 끝없는 추락,0.0
739,시총 상위기업도 목표가 줄하향,0.0
740,네이버 제치고 시총 3위…'삼바 축제' 계속될까,1.0
741,IPO 시장도 '언택트'… '커뮤니케이션 섹터' 기업 뜬다,1.0
742,"다시 열린 코스피 2200, DNA가 달라졌다",1.0
743,[하이킥 韓증시]대장주로 우뚝선 4차산업 종목들,1.0
744,"日라인처럼… 페이·파이낸셜 절차, 카드사 매물 나올땐 인수 가능성도",0.0
745,"파죽지세 엔씨, 100만원 넘본다",1.0
746,"네이버, 소상공인에 스마트주문 수수료 면제",1.0
747,국내선 규제 탓 인터넷은행 포기… 은산분리 없는 해외 확장 잰걸음,0.0
748,'포털 클릭 한번 잘못했다간…' 사생활 영상까지 다 털린다,0.0
749,목표주가 '상향' 두달간 9배↑…영혼없는 조정 '다수',0.0
750,나란히 '신고가' 포털 빅2…이제 시작이다,1.0
751,네이버도 구글·페이스북처럼...자체 '버그바운티 사이트' 오픈,1.0
752,[이번주 추천주] '실적+성장' 네이버·LG생활건강·현대차 주목,1.0
753,경제 펀더멘털 훼손 우려에 대형주 직격탄..시총 톱100중 97개↓,0.0
754,"""실리콘밸리가 불러도 안가요"" 알프스 아래 네이버 AI센터",1.0
755,[하이킥 韓증시]예상 깬 V자 반등…'동학개미들'이 이끌었다,1.0
756,[한경에세이] 인생의 성공,1.0
757,美 ESG ETF에 1분기 14조원 순유입,1.0
758,1745원 대 6391원 어린이집 급식의 ‘격차’,0.0
759,‘만스닥’ VS ‘이천피’...3년간 나스닥 60%↑ 코스피 10%↓,0.0
760,중소형주 펀드 선방했지만…코스닥 상승률 절반 수준인 이유,0.0
761,네이버·카카오에 푹빠진 외국인·기관,1.0
762,"""‘코로나19’ 주가 하락 과하다""…자사주매입 잇따라",0.0
763,소부장 분위기 좋다는데…사모재간접 펀드는 왜?,0.0
764,언택트 수혜 네이버·카카오 실적 '장군멍군',1.0
765,반려동물용 곤충간식…펫맘 잡고 2년새 매출 10억,1.0
766,[단독] 추미애 개인 싱크탱크에 ‘셀프 후원’ 의혹,0.0
767,"""10억 밑으로 낮추자""...임원들 연말 자사주 대거 팔아",0.0
768,코스피 예상 배당성향 27%...3월 주총서 상향압력 커질듯,0.0
769,"'게 장수'가 된 산림학 박사 ""게장 버무릴 때 행복해요""",1.0
770,"장중 한때 현대차도 제친 '카카오', 누가 샀나 봤더니",1.0
771,'1000만원짜리 다육식물'로 뜬 스타 유튜버 농부,1.0
772,약도 치료법도 없는 병은 잇달아 두 자매를 덮쳤다,0.0
773,"뉴딜정책에 날개단 언택트株…""내달 세부안 보고 옥석가려야""",1.0
774,[한경에세이] 꿈을 꾼 것만 같다,1.0
775,청소년들 악플·혐오표현 이젠 그만,0.0
776,"""배상하지 마라""… 日정부, 韓 판결에 대응 나서",0.0
777,16년 가정폭력 벗어났지만…11살 민석이는 아직 말을 뭉갠다,0.0
778,코로나 폭락장 1개월…실적 추정치 되레 오른 종목들,0.0
779,신고가 행진 네이버...주가 눈높이 高高,1.0
780,[한경에세이] 지문이 사라졌다,0.0
781,충주 농부 17년 뚝심…'오메가 소고기' 결실,1.0
782,"[서경이 만난 사람]""획일적 규제로 기업들 시장 떠나...코스닥 살릴 당근책 내...",0.0
783,"3개월만에 다시 찾아온 조정국면, 탈출구는?",0.0
784,"""코로나 메일·문자 함부로 열면 안돼""…금융당국, 코로나해킹 경계령",0.0
785,코로나에 지친 주민·상인 ‘활력 찾기’ 총력,0.0
786,라인 야후 통합에 네이버 목표주가 ‘상향 러시’,1.0
787,'청년농부' 아무나 못쓴다?…상표권 논란,0.0
788,트럼프 “G20서 시진핑 못 만나면 관세 추가 인상할 것”,0.0
789,기업 3곳 중 2곳은 '서프라이즈'…코로나에도 선방한 1분기,1.0
790,"""일본이 저지른 만행... 왜 피해자가 더 고통 받나""",0.0
791,등교 또 연기? 또 재택근무?… 온라인교육·원격근무株 '활짝',1.0
792,"""나야 나!"" 대세 된다는데…요동치는 언택트 수혜주",0.0
793,①가난과 외로움만 남기고 떠난 ‘나쁜 아빠’…그는 ‘한국인’입니다 [잊혀...,0.0
794,뇌 반쪽 들어낸 엄마…“비 새는 네 식구 월셋집마저 비워야”,0.0
795,[ESC] “먹고 또 먹어도 줄지 않아요!” 방어 뜬 날 올린 쾌거,1.0
796,"네이버, 프랑스 자회사에 2589억 투자... 유럽 사업 운영비 확보",1.0
797,하루에만 68조 공중으로…국내 시총 올해 176조원 증발,0.0
798,[사이언스 온고지신]시험발사체 개발의 의미,1.0
799,네이버·카카오 이유있는 주가 강세,1.0
800,알짜 자회사 덕분에...'몸값' 치솟는 네이버,1.0
801,"보좌관에서 '매출 150억 버섯농부'로…""우주서도 농사 지을 것""",1.0
802,‘스쿨미투’ 1년… “처리 현황 깜깜한 동안 가해자는 교단 복귀”,0.0
803,[줌인리더스클럽 - 네이버] 뜨는 네이버페이 잡고…A-CITY로 앞서간다,1.0
804,"""네이버, 韓·佛 교류 플랫폼 될것""",1.0
805,넷플릭스 부럽잖은 엔플릭스…좋은 연극 유튜브로 본다,1.0
806,"라인·야후재팬 '날개' 단 네이버…증권가 ""세계 시장 도약""",1.0
807,네이버 분기 매출 1兆에도 웃지 못하는 이유,0.0
808,"네이버, 어학사전 개정·구축에 100억원 투자",1.0
809,네이버의 '유러브(Europe+Love)',1.0
810,"네이버, 기초과학에 4년간 100억 투자",1.0
811,미숙아로 태어난 쌍둥이 남매…부모의 소원은 “건강하게만”,0.0
812,유기농 이유식 SNS 거래…'맘' 잡고 억대 매출,1.0
813,"[이번주 추천주]""2분기후 실적 모멘텀 기대""... 코스맥스 주목",1.0
814,"네이버, 애플 배짱에 방어벽 쳤다…네이버앱 웹툰 결제 막아",0.0
815,"농사 짓는 스타 셰프, '1개 10만원' 신품종 멜론 선보이다",1.0
816,중동 불안에도… 외국인의 식지 않는 '반도체·IT 사랑',1.0
817,세계 도시 빛축제 전문가 서울에 모인다,1.0
818,"""폭스바겐, 휘발유차도 배기가스 조작"" 주장 나와",0.0
819,‘고려인 4세’ 19살 엄마의 소원 “갓난 딸은 힘들게 살지 않기를…”,0.0
820,"우리 아이, 산만하고 자기 마음대로 하고 싶어 해요",0.0
821,"이학도 씨월드 대표 '추억의 맛' 튀겨낸 부각, 한국 넘어 美도 홀리다",1.0
822,7월 주식 거래대금 8.6兆… 연중 최저,0.0
823,"네이버 ""AI 아이디어 사업화 돕는다""...AI 경진대회 개최",1.0
824,"농식품부-aT, 농식품 수출 이끌 인재 키운다",1.0
825,17살에 몸무게 고작 15㎏…생명선에 의지한 희귀병 나연이,0.0
826,[석창인 박사의 오늘 뭐 먹지?]노릇노릇 생선구이와 한잔의 행복,1.0
827,"네이버, 오디오콘텐츠펀드 300억원 투자..본격 발굴",1.0
828,"네이버, 연매출 3조원 첫 돌파",1.0
829,"“리얼타임 해외방송도 문제없다” 네이버, 동영상 플랫폼 고도화",1.0
830,‘적극적 주주권’ 기치 든 국민연금…기업활동 위축 우려,0.0
831,"""국산 밀·팥으로 빚은 찐빵, 10만명 찾은 부안 명물됐죠""",1.0
832,'100만원' 앞뒀던 네이버 73만원까지 하락…'비용 급증+라인 부진',0.0
833,"네이버, 2Q 매출 1조원 근접…모바일·해외 '쑥쑥'(상보)",1.0
834,주총서 큰손 타깃될 상장사…'사외이사선임' 반대표 많았다,0.0
835,[이번주 추천주] 신작 '리니지2M' 흥행 엔씨소프트 등 주목,1.0
836,"네이버, 1년간 스타트업 500곳 지원",1.0
837,"[만났습니다]“패스트팔로워 韓증시, 스스로 활력 찾을 것”",1.0
838,대세는 웹툰… 웹툰으로 성장 노리는 상장사들,1.0
839,동네서점서 북 토크·콘서트 ‘풍성’,1.0
840,서울대 창업 동아리서 의기투합…4년 만에 샐러드 카페 20곳 열다,1.0
841,전세계 덮친 '우한폐렴 쇼크'…코스피도 3% 급락,0.0
842,깜짝 실적에 설레는 증시…눈 높이는 하락 추세,0.0
843,코로나19로 '방콕'이 트렌드…게임·미디어 ETF '쏠쏠',1.0
844,고소하고 담백… 고단백 영양식에 활력 불끈! [김셰프의 낭만식탁],1.0
845,소상공인 장사 돕는 AI 나온다…네이버 ‘AI 콜’ 등 기술 선보여,1.0
846,네이버·NHN엔터 '아쉬운 성적표',0.0
847,"네이버, 3분기 매출 창사이래 첫 1조 돌파",1.0
848,카드빚내 창업 '米친 도전'…프리미엄 쌀 시장 이끌다,1.0
849,"‘큰손’ 국민연금, 3월 주총 휘저을까",0.0
850,[한경에세이] 학력의 비애와 인생의 성패,0.0
851,[라이브인 #19] 임태훈과 함께 하는 ‘21세기 계엄령’ A to Z,0.0
852,"네이버, 자회사 가치평가 반영되며 주가 상승 탄력",1.0
853,"폭락장서 美주식 쓸어담은 개미, 수익률 더 좋았다",1.0
854,[DBR/Case Study]디자인 전담팀 없이 감으로 승부… 더 이상 통하지 않았다,0.0
855,인터넷·통신·바이오업종은 '바이러스 청정지역',1.0
856,"네이버, 자율주행 핵심센서 개발하는 이스라엘 '이노비즈'에 투자",1.0
857,< ICT & Science >사건자료 1차 분석 뚝딱 …‘AI와 협업하는 法’ 배우는 변...,1.0
858,"[한경에세이] 잘못된 호적, 쓰디쓴 탄식",0.0
859,김경수가 드루킹에 보냈다는 기사 살펴보니…,0.0
860,기업실적·경제지표 발표 주목..미·유럽 코로나 진정 여부 변수 [주간 증시 ...,1.0
861,[커버스토리]하루이틀사흘…‘작심성공’ 그 어려운 걸 해낸 당신!,1.0
862,"발암물질 고혈압약 품목 '오락가락'… ""으~ 혈압 더 오르네""",0.0
863,"문경 귀촌 택한 KT맨, 오미자·사과 수제맥주로 연매출 10억",1.0
864,"네이버, 플뢰르 전 장관 벤처투자사에 1200억 출자",1.0
865,'7조대 증권사 지배하는 0.8조 캐피탈' 당국 정조준,0.0
866,유럽쇼크에 强달러…외국인 나흘째 `팔자`,0.0
867,"네이버, 기초과학 분야 4년간 100억원 투자키로",1.0
868,"[한경에세이] 건전한 생각, 즐거운 대화",1.0
869,[실적쇼크에 멈춰선 배당]연기금·운용사 타깃된 '짠물배당株',0.0
870,"""사회주의식 규제가 韓증시 저평가 핵심원인""",0.0
871,초등학교 입학 앞둔 우리 아이 새벽에 자주 깨고 불안해하네요,0.0
872,[한경에세이] 고학과 통학과 눈물의 출석부,0.0
873,빚더미 피해 들어간 민통선…'父子 농부'는 그곳에서 국산 生와사비 시장 열었...,1.0
874,"코스피 2140 축포에도…곱버스 늪에 빠진 개미, 증시회복에도 매입",0.0
875,네이버·홍콩과기대 AI 연구소 설립,1.0
876,‘청년요리사의 꿈과 도전’…천안서도 쭉~,1.0
877,[주간추천주]겨울 휴가철 항공·면세 `러브콜`,1.0
878,탄탄한 실적·성장 가능성에…글로벌 IT株 주가 차별화,1.0
879,반도체·IT플랫폼주 역대 최고가 넘본다,1.0
880,"코스피, 5개월 상승분 단 5일만에 반납...""1,900선까지 후퇴할수도""",0.0
881,"어른만 오면 “엄마, 아빠”…헤어짐 먼저 알아버린 3살",0.0
882,폭락장에서도 빛난 네이버·카카오,1.0
883,"[포춘클럽 라운지]네이버,年매출 5兆 첫 돌파… 3D지도·동영상으로 해외공략...",1.0
884,"네이버, 검색·AI 조직 통합…AI검색역량 강화",1.0
885,뉴스 편집서 손떼는 네이버,0.0
886,"네이버·카카오, 엇갈리는 실적·주가",0.0
887,"연저점 떨어진 네이버, 올해 실적 기대감 낮아",0.0
888,"""데이터로 맞춤형 사육…한 번도 안 아픈 돼지 팝니다""",1.0
889,"웹툰 → 게임·굿즈…콘텐츠IP, 글로벌 新한류 첨병",1.0
890,김상헌도 최명길도 없고…저 살기 급급한 ‘우왕좌왕 보수’,0.0
891,"취나물·곤드레·더덕, 산지 농가와 계약…나물장사로 '매출 130억' 기업 키워...",1.0
892,"네이버, 연매출 4조…모바일 광고의 힘",1.0
893,"삼성전자·네이버…외국인, 주가 하락해도 우량주는 안팔았다",1.0
894,"사라진 액면분할의 '마법'…옛 황제주들 ""아, 옛날이여""",0.0
895,'까다로운 민물고기' 쏘가리 대량양식 해냈다,1.0
896,30% 넘게 오른 네이버와 카카오…그래도 하나 고른다면,1.0
897,"'슈퍼 뿌리' 개발한 이스라엘 벤처, 토마토 생산량 두 배↑",1.0
898,밥솥 증기만 봐도 “무서워” 준수네 덮친 ‘화마’의 악몽,0.0
899,중국서 사업하다 양구행… 연 15억 버는 '시래기 농부',1.0
900,먹기 편한 '말린 채소' 아이디어… 연매출 40억 CEO된 가정주부,1.0
901,'큰손' 매도세 여전...웃지못하는 네이버,0.0
902,작년 인터넷 소액사기 피해 사이트 살펴보니...,0.0
903,한국 첫 '미슐랭 ★★★' 영국 비평가 혹평한 까닭,0.0
904,"작가의 마음 후비는 난민·젠더, 지금 여기 있습니까",0.0
905,바이오·게임 '스톡옵션 대박' 임직원 5명이 660억대 수익,1.0
906,"LG전자-네이버, AI 스피커 출시 ""말만 하세요""",1.0
907,"""김, 영양간식으로 인기…수출 8년새 5배 ↑…중국·동남아서 현금 다발 들고...",1.0
908,中증시 상승세에 웃은 코스피… 1930선 바짝 접근,1.0
909,아프리카의 끝에서 희망을 찾다,1.0
910,돈보다 돈(豚)이 먼저다… '행복한 흑돼지' 키우는 부부,1.0
911,"네이버, '자율주행차' 첫 도로주행 완료",1.0
912,"콘텐츠·신기술·해외시장 개척에 네이버, 5년간 5000억 통큰투자",1.0
913,휴전선 철책 따라 평화 함성 울린다,1.0
914,네이버 '작심비판'에 발끈한 구글,0.0
915,"국민연금, 주식투자 상위 30곳중 13곳 지분 줄여",0.0
916,KRX300 등장에 기관 '지수 갈아타기'...상승장 발목 잡나,0.0
917,"올해 2배 넘게 오른 아프리카TV, 월드컵 타고 더 위로?",1.0
918,"[단독] 네이버, 홍콩과기대와 AI연구소 세운다",1.0
919,"SK, LG실트론 6200억원에 인수… 반도체 수직계열화 가속",0.0
920,"떡장사하던 칠갑산 청년, 스팀압력, 코팅살균 기술로 쌀 식품 강소기업 일구다",1.0
921,[ET단상]4차 산업혁명 속 드론산업 현주소,0.0
922,"네이버, 지도 API 개방…""일 20만건 무료로 쓰세요""",1.0
923,[주간증시전망]기업실적 개선 등에 업고 코스피 2100선 안착 시도,1.0
924,[ESC] 놓친 물고기가 가장 크네~,0.0
925,< ICT & Science >“AI도 생명 다루는 의사처럼 엄밀한 검증 필요”,0.0
926,"""와규보다 맛있는 '숙성 한우'… 명품 소고기로 입소문 탔죠""",1.0
927,공감 70% 뚝…네이버 댓글 억제 먹혔다,1.0
928,"""네이버, 4분기부터 실적 개선 기대""",1.0
929,삼성전자 시총 100조 증발…혹독한 한해 보낸 코스피 대장株,0.0
930,"인플루엔셜 강의 플랫폼 `윌라`, 네이버-KTB 펀드 투자유치",1.0
931,"네이버, 노조 설립 잰걸음",0.0
932,북유럽 섬나라 아이슬란드도 삭힌 홍어 먹는다,1.0
933,"네이버 ""기술기반 HW에 5년간 1000억원 투자""",1.0
934,성장주만 불끈… 증시 양극화 ‘희비’,0.0
935,<이슈데이터> 이해진 네이버 의장 올 최고 ‘주식대박’,1.0
936,음식의 ‘이산 상봉’…북한식 돼지국밥 맛은 딱 부산식,1.0
937,"과일향 생맥주, 1000원 안주…‘노가리골목’ 흥취 사라질라",0.0
938,"혼자, 낑겨 서서, 낮술도…오사카 선술집 ‘만원의 행복’",1.0
939,"""네이버, 라인 연결매출 가파른 성장""",1.0
940,코로나19 충격에…시총 1兆 이상 기업 22% 급감,0.0
941,풍부한 영양·고소한 버터향… ‘불로장생 명약’ [안젤라의 푸드트립],1.0
942,“공수처보다 수사권 제한이 검찰개혁 핵심”,0.0
943,두달새 시총 6→18→7위…롤러코스터 탄 네이버,0.0
944,'부동산시장 교란 주범' 허위매물 차단 시스템 마련 시급,0.0
945,"한성숙의 네이버, 임지훈의 카카오…정유년 새로운 성장기회 잡는다",1.0
946,"日, 70세 이상 인구 20% 넘었다 '사상 처음'",0.0
947,늘려도 ‘찔끔’…‘짠물배당’ 기업들,0.0
948,"시총 31兆…네이버, 현대차 추월하나",1.0
949,인류를 응징하러 돌아왔다,0.0
950,"광주 1호 대형마트 창업자, 지역 농산물 판매로 재기…'재도전 전도사'로 뛴다",1.0
951,오륜기와 함께 뜨는 축제의 달,1.0
952,‘액면분할=주가상승’ 마법이 사라졌다,0.0
953,"임원제 폐지 네이버, 공시 대상 2명 뿐",0.0
954,출렁이는 증시…연말 3가지 틈새전략은?,0.0
955,"인터넷·車↑, 바이오↓…급락장에 시총상위株 지각 변동",0.0
956,너무 싼데도 내리막…대형우량주 ‘신저가 속출’ 주의보,0.0
957,"JP모간 ""2018년 추천주에서 삼성전자 뺀다""",0.0
958,美경제 기대감…코스피 장중 2200 근접,1.0
959,현대차-SK ‘희비’…그룹株 격차 심화,0.0
960,[이번주 추천주] 원화약세로 수익개선..車 부품주 유망,0.0
961,커피찌꺼기 '친환경 변신'…커피점토·벽돌로 매출 10억 넘본다,1.0
962,[여의도칼럼]어른들 싸움에 갈 곳 잃은 꿈나무들,0.0
963,뉴요커가 사랑한 골목서 가을의 여유를 만끽하다,1.0
964,진짜 토종 흑돼지를 맛봤다 입에 착착 붙었다,1.0
965,분기 매출 1조 달성한 네이버…세대교체 시작(종합),1.0
966,화산·초록 모래…태고의 자연을 품다…살아 숨 쉬는 젊은 땅! 빅 아일랜드,1.0
967,[단독]문재인 지지 崔씨 '일베충' 매도에 오기 발동(종합),0.0
968,네이버 `커넥트`서 새로운 서비스 청사진 공개,1.0
969,"인천에 살고 싶은 이유, 배다리 대폿집의 작은 신화",1.0
970,'동학개미' 수익실현 눈앞…외인·기관은 이미 '플러스',1.0
971,김택진 ‘국감 첫 소환’에 엔씨 휘청,0.0
972,‘청년은 하나다’… 광주서 세계청년축제 내일 개막,1.0
973,"클라우드 뛰어드는 네이버…""2년 내 탑5 플랫폼 될 것""",1.0
974,'시험관 꽃차'로 2년 새 매출 20배…꽃길 걷는 이 남자,1.0
975,코스피 시총도 `부익부 빈익빈`,0.0
976,외국인의 '귀환 선물'… 코스피 1900선 회복,1.0
977,[ESC] 줄 당길수록 살아나는 손맛!··· 제주 야경은 보너스!,1.0
978,네이버 황제주 넘보나,1.0
979,< AI 글로벌 최전선을 가다 >AI 알고리즘 편향성·위험성… 풍부한 사례 통해...,0.0
980,"네이버, 한국 찾는 외국인도 쉽게 쓰도록 다국어 지원",1.0
981,< ICT & Science >AI가 판결문까지 작성? … 법원은 ‘신중 모드’,0.0
982,'금융결제망 개방' 수혜 기대...간편결제 서비스기업 강세,1.0
983,국민연금지분 10%이상 기업 22%↑… 갈수록 커지는 ‘연금 사회주의’우려,0.0
984,네이버 SW교육 지원 강화 팔 걷어,1.0
985,"네이버 파파고, 베트남어·태국어 등 AI 번역 지원",1.0
986,라인 전세계 가입자 4억 돌파,1.0
987,"실적+배당+자사주, 호재 만발 네이버, 100만원 뚫나",1.0
988,"삼성證 ""네이버·KAI·코오롱인더스트리 등 유망""",1.0
989,[이번 주 추천주]이마트·호텔신라 등 4·4분기 실적 개선 기대주 대거 선정,1.0
990,코스피는 '바겐세일' 중…대형주 10곳 중 6곳 장부가 밑돌아,0.0
991,긴긴 터널속 네이버ㆍLG전자 햇볕들까,0.0
992,돈·개인정보까지 털어가는 '가짜 네이버페이 주의보',0.0
993,외국인 1조3천억 매도 폭탄… 코스피 시총 57조 증발[금융시장 코로나 직격탄...,0.0
994,반도체장비주 베팅 국민연금...성적은 초라하네,0.0
995,2분기 상장사 30% '어닝 쇼크'…3분기 전망도 '먹구름',0.0
996,"KT, 은퇴자 일자리 1천개 만든다",1.0
997,피싱에 악용 되는 단축URL… 포맷 변경으로 대응 나선 네이버,0.0
998,거품 걷히는 네이버 주가구글·페북보다 더 비싸네,0.0
999,대형주 1분기 ROE 급락…증시 ‘풍랑주의보’,0.0
1000,[기고]중소벤처기업 정책 패러다임을 바꿔라,0.0
1001,< AI 글로벌 최전선을 가다 >“원격진료·리걸테크 몇년째 지지부진…法규제 ...,0.0
1002,< ICT & Science >AI·블록체인과 전방위 결합… 기술과 금융의 ‘경계’를 허...,1.0
1003,< ICT & Science >“실력확인차 법률 AI올림픽 갔다 2년연속 우승”,1.0
1004,이해진은 왜 총수가 싫을까,0.0
1005,3.1절 100주년 맞이 “대한독립만세!” 함성...서울 자치구들 이벤트 마련,1.0
1006,"황제주 넘보던 네이버, 올해는 박스권 갇힌다",0.0
1007,"네이버, 강원도 '빅데이터市' 만든다",1.0
